"average days of outages per customer",state
3.62942721274476,"Puerto Rico"
2.0213412822948,"United States Virgin Islands"
1.64497896684595,Louisiana
0.952229095164714,Maine
0.883435424527426,Michigan
0.743391698941324,"West Virginia"
0.613628094276217,"North Carolina"
0.46860632497686,Arkansas
0.45959581376955,Texas
0.458036744027249,Mississippi
0.42507339383307,Oregon
0.402765609363806,Kentucky
0.363369532960672,Florida
0.319557947714836,Tennessee
0.307958690757748,"New Hampshire"
0.285642782633581,California
0.269026098586437,Virginia
0.267605600242002,Hawaii
0.25277028084814,Ohio
0.242087046516827,Washington
0.220086491326333,Massachusetts
0.214539864011159,Alabama
0.205147593513982,Missouri
0.203343380378319,Indiana
0.181084469791495,"Rhode Island"
0.176703977573368,Wisconsin
0.176388682365625,Georgia
0.175947130545073,Pennsylvania
0.172735643839033,"South Dakota"
0.164546104258723,Idaho
0.161321918891371,Maryland
0.149389474502768,Montana
0.131824368207066,Kansas
0.130444804338959,Nebraska
0.129616677803616,Vermont
0.128842797114651,"South Carolina"
0.123684455317434,Minnesota
0.120150477199318,"North Dakota"
0.11882905493338,"New York"
0.118341344471281,Colorado
0.113502753001676,Oklahoma
0.110829267725941,Illinois
0.109208564402238,"New Mexico"
0.108584412943722,Utah
0.101814688399696,"New Jersey"
0.101177493388731,Wyoming
0.100927846121505,Connecticut
0.0938357731090325,Nevada
0.0868572010258868,Iowa
0.067357017506882,Alaska
0.0511510275305655,Arizona
0.0349239792903341,"District of Columbia"
0.0162685475646313,Delaware
